Choice_Name,Choice_Value,Station,Process_#,Process_Name,Option,7.0x20,7.0x24,8.5x20,8.5x24,8.5x28,8.5x28FB,People,Responsible,Actual_Person,Date_Studied,,7.0x20_,7.0x24_,8.5x20_,8.5x24_,8.5x28_,8528FB_
Package_FrontBedroom_Choices_Prod,10,1,1010,Weld interior walls -Std Unit,*,125,125,270,270,270,0,1,,,,,0,0,0,0,0,0
Package_FrontBedroom_Choices_Prod,10,1,1020,Weld interior walls -Front Bedroom,*,0,0,0,0,0,0,1,,,,,0,0,0,0,0,0
,,1,1030,Weld front radius wall x 2,,20,20,20,20,20,20,1,,,,,20,20,20,20,20,20
,,1,1040,Roof Truss Setup Time,,15,15,15,15,15,15,1,,,,,15,15,15,15,15,15
,,1,1050,Weld roof trusses (2 min ea),,30,34,30,34,38,50,1,,,,,30,34,30,34,38,50
,,1,1060,Weld roof parts together,,60,60,60,60,60,60,1,,,,,60,60,60,60,60,60
,,1,1070,Table prep for 1 pc roof ,,8,8,8,8,8,8,1,,,,,8,8,8,8,8,8
,,1,1080,Roof lay out,,15,17,15,17,19,19,1,,,,,15,17,15,17,19,19
,,1,1090,Tack roof ,,8,8,8,8,8,8,2,,,,,8,8,8,8,8,8
,,1,1100,Weld 1 pc roof ,,20,24,20,24,28,30,2,,,,,20,24,20,24,28,30
AC_Choices_Prod,1,1,1110,A/C Ducting - Single,*,10,10,10,10,10,10,2,,,,,0,0,0,0,0,0
AC_Choices_Prod,2,1,1120,A/C Ducting - Double,*,0,0,0,0,20,20,2,,,,,0,0,0,0,0,0
,,1,1130,Upper front wall,,30,30,30,30,30,30,1,,,,,30,30,30,30,30,30
,,1,1140,Lower front wall,,15,15,15,15,15,15,1,,,,,15,15,15,15,15,15
,,1,1150,Prep Table,,10,10,10,10,10,10,1,,,,,10,10,10,10,10,10
,,1,1160,Rear wall header ,,20,20,20,20,20,20,1,,,,,20,20,20,20,20,20
,,1,1170,Lay Out C/S Sidewall,,65,70,65,70,80,70,2,,,,,65,70,65,70,80,70
BedDoor_Choices_ProdCS,1,1,1180,CS Bed Door,* ,5,5,5,5,5,5,1,,,,,5,5,5,5,5,5
BedLift_Choices_ProdM,1,1,1190,Happijac - Middle,*,5,5,5,5,5,5,1,,,,,0,0,0,0,0,0
