Station, Process_#, Process_Name, 8.5x24, People, Responsible, 206129
5, 5060, Ramp Door Install, 30, , NT, 
5, 5080, License Plate, 2, , NT, 
5, 5090, Grab Handles (Ramp), 10, , NT, 
5, 5100, "Fire Ext., 15, 15, 15, 
5, 5110, Clean Exterior, 35, , RW, 
5, 5120, Exterior Stickers and Logos, 20, , RW, 
5, 5130, Caulk Exterior, 45, , RW, 
5, 5140, Clean Interior, 80, , RW, 
5, 5150, Clean Interior - Cabinets CS Front, 5, , , 
5, 5230, Clean Interior - Happijac - Rear, 5, , , 
5, 5260, Clean Interior - Sofa - CS - Rear, 5, , , 
5, 5280, Clean Interior - Sofa - RS - Rear, 5, , , 
5, 5340, Insulation - floor, 10, , , 
5, 5350, Interior Stickers, 11, , RW, 
5, 5360, Caulk Interior, 70, , RW, 
5, 5370, Shower Curtain, 5, , RW, 
5, 5380, Grease Caps, 2, , RW, 
5, 5390, Tighten Wheel Lugs & check air presure in tires, 5, , RW, 
5, 5400, Install Graphics, 130, , RW, 
5, 5440, Tie Down Rings, 2, , RW, 
5, 5450, Hi-Pot Test, 10, , NT, 
5, 5460, Electrical Systems check, 45, , NT, 
5, 5470, Functionallity Test, 20, , NT, 
5, 5510, Functionallity Test - Happijac - Rear, 5, , , 
5, 5540, Functionallity Test - Sofa - CS - Rear, 5, , , 
5, 5560, Functionallity Test - Sofa - RS - Rear, 5, , , 
5, 5650, Functionallity Test - Stereo, 5, , , 
5, 5710, Inspection / Walk Through, 30, , , 
5, 5720, Standard Rework, 300, , , 
Station, Process_#, Process_Name, 7.0x20, People, Responsible, 206173
4, 4010, Finish Water Heater, 10, , SR, 
4, 4020, Outside Water Fill, 6, , SR, 
4, 4030, Install Outside Shower, 5, , SR, 
4, 4040, LP Tray and Tanks, 7, , SR, 
4, 4050, install intellipower, 120, , TS, 
4, 4060, install battery disconnect & divider panal, 20, , TS, 
3, 4080, Interior Hook Up, 120, , TS, 
4, 4110, Install LP Lines, 30, , JR, 
4, 4120, Main Switch Panel Hook Up      No Stereo 45 , 45, , TS, 
4, 4150, Fenders - 7 Wide, 15, , NT, 
4, 4160, Lower Rub Rail, 40, , NT, 
4, 4180, Wire Lower Clearance Lights, 15, , NT, 
4, 4190, Fender Lights - 7.0 Wide, 30, , NT, 
4, 4200, Flow Through Vents, 20, , NT, 
4, 4220, Install Motorbase, 15, , TS, 
4, 4240, Install Outside Coax, 15, , TS, 
4, 4260, Exterior Recept Install, 15, , TS, 
4, 4280, Exterior 12V Outlet, 10, , TS, 
4, 4300, Install Kitchen Overhead, 17, , JW, 
4, 4310, Set Refer, 30, , SR, 
4, 4320, Tail Lights - License Plate Light Installed, 60, , NT, 
4, 4340, Refer Hook Up, 14, , SR, 
4, 4350, Outside Refer Vent, 5, , SR, 
4, 4360, Outside Water Heater and Furnace Vent, 15, , JR, 
4, 4380, Install Outside Water Heater Door, 5, , JR, 
4, 4390, wire upper clearance lights, 35, , SR, 
